"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Sierra Ops","0","0","16","0","0.64","0.64","0.04","0.03","25.0","0.05","0.05","797","0.28","2021-08-17","364210"
"Dodgeball Academia","0","0","16","0","0.79","0.79","0.05","N/A","0.0","0.28","0.38","58","0.35","2021-08-10","1422420"
"SAMURAI WARRIORS 5","0","0","16","0","0.75","0.75","0.05","0.08","-60.0","0.08","0.19","78","0.35","2021-07-27","1591530"
"Last Stop","0","0","16","0","0.89","0.89","0.06","0.20","-233.3","0.26","0.07","18","0.42","2021-07-23","1122690"
"Bless Unleashed","0","0","16","0","1.03","1.03","0.06","0.04","33.3","0.14","0.10","109","0.42","2021-07-23","1254120"
"Noob, les Sans-Factions","0","0","16","0","1.09","1.09","0.07","N/A","0.0","0.26","0.21","83","0.49","2021-07-22","1623880"
"Buddy Simulator 1984","0","0","16","0","0.61","0.61","0.04","0.05","-25.0","0.06","0.06","187","0.28","2021-06-24","1269950"
"Legion TD 2","0","0","16","0","0.55","0.55","0.03","0.03","0.0","0.06","0.05","915","0.21","2021-06-21","469600"
"SAMURAI SHODOWN","0","0","16","0","0.60","0.60","0.04","0.09","-125.0","0.45","0.50","116","0.28","2021-06-15","1342260"
"Library Of Ruina","0","0","16","0","1.26","1.26","0.08","0.07","12.5","0.06","0.06","251","0.56","2021-06-13","1256670"
"Crash Drive 3","0","0","16","0","0.66","0.66","0.04","0.03","25.0","0.30","0.04","157","0.28","2021-06-01","346820"
"Firestone: Online Idle RPG","0","0","16","0","0.98","0.98","0.06","0.05","16.7","0.25","0.09","133","0.42","2021-05-28","1013320"
"Tribal Hunter","0","0","16","0","0.97","0.97","0.06","0.06","0.0","9.72","0.16","75","0.42","2021-05-27","1379870"
"Puyo Puyo™ Tetris® 2","0","0","16","0","0.66","0.66","0.04","0.06","-50.0","0.59","0.41","133","0.28","2021-04-02","1259790"
"Forza Horizon 4","0","0","16","0","0.66","0.66","0.04","0.02","50.0","0.04","0.05","6907","0.28","2021-03-10","1293830"
"Frontline: Western Front","0","0","16","0","0.87","0.87","0.05","0.14","-180.0","0.85","6.89","28","0.35","2021-03-02","1147490"
"Re: LieF ~ Shin'ainaru Anata e~","0","0","16","0","1.07","1.07","0.07","0.07","0.0","0.10","0.81","38","0.49","2021-03-01","1518770"
"Old School RuneScape","0","0","16","0","1.01","1.01","0.06","0.05","16.7","0.13","0.05","266","0.42","2021-02-25","1343370"
"Deep Despair","0","0","16","0","0.63","0.63","0.04","0.02","50.0","3.16","0.04","89","0.28","2021-02-15","1241040"
"Little Nightmares II","0","0","16","0","0.82","0.82","0.05","0.03","40.0","0.08","0.05","1075","0.35","2021-02-12","860510"
"The Adventure of NAYU","0","0","16","0","0.85","0.85","0.05","0.08","-60.0","0.11","0.07","54","0.35","2021-02-11","1476340"
"Firefighting Simulator - The Squad","0","0","16","0","0.64","0.64","0.04","0.03","25.0","0.11","0.06","180","0.28","2021-02-03","420560"
"PHOGS!","0","0","16","0","0.73","0.73","0.05","0.04","20.0","0.94","10.16","77","0.35","2021-01-30","850320"
"Devilated","0","0","16","0","1.30","1.30","0.08","0.35","-337.5","0.33","2.97","39","0.56","2021-01-30","570950"
"Re:ZERO -Starting Life in Another World- The Prophecy of the Throne","0","0","16","0","1.05","1.05","0.07","0.07","0.0","0.34","0.23","105","0.49","2021-01-27","1277510"
"Skul: The Hero Slayer","0","0","16","0","0.59","0.59","0.04","0.02","50.0","0.05","0.04","1567","0.28","2021-01-21","1147560"
"WHAT THE GOLF?","0","0","16","0","0.60","0.60","0.04","0.02","50.0","0.05","0.05","194","0.28","2021-01-07","785790"
"Nioh 2 – The Complete Edition","0","0","16","0","0.82","0.82","0.05","0.03","40.0","0.06","0.05","689","0.35","2020-12-29","1325200"
"斩妖行 Eastern Exorcist","0","0","16","0","0.62","0.62","0.04","0.03","25.0","0.12","0.05","143","0.28","2020-12-22","1120810"
"重明鸟 Bright Bird","0","0","16","0","1.21","1.21","0.08","N/A","0.0","0.06","2.01","23","0.56","2020-12-22","1007810"
"Burned Land","0","0","16","0","0.67","0.67","0.04","N/A","0.0","1.68","0.16","45","0.28","2020-12-21","833170"
"HyperParasite","0","0","16","0","0.71","0.71","0.04","N/A","0.0","0.26","1.58","37","0.24","2020-12-14","838110"
"Mars Horizon","0","0","16","0","0.60","0.60","0.04","0.03","25.0","0.13","0.05","178","0.28","2020-11-13","765810"
"Maitetsu:Last Run!!","0","0","16","0","1.23","1.23","0.08","0.06","25.0","0.08","0.28","115","0.56","2020-11-04","1434480"
"Beyond a Steel Sky","0","0","16","0","0.60","0.60","0.04","0.04","0.0","0.44","0.07","113","0.28","2020-10-29","1146310"
"RuneScape","0","0","16","0","0.86","0.86","0.05","0.05","0.0","0.06","0.05","638","0.35","2020-10-26","1343400"
"Monster Truck Championship","0","0","16","0","0.70","0.70","0.04","0.16","-300.0","1.18","0.30","79","0.28","2020-10-22","1209360"
"Serious Sam 4","0","0","16","0","0.77","0.77","0.05","0.03","40.0","0.05","0.04","372","0.35","2020-10-22","257420"
"Paradise Killer","0","0","16","0","0.63","0.63","0.04","0.04","0.0","0.06","0.04","310","0.28","2020-10-01","1160220"
"Fates of Ort","0","0","16","0","0.92","0.92","0.06","N/A","0.0","481.97","0.38","21","0.42","2020-09-23","895480"
"Furry Love","0","0","16","0","0.51","0.51","0.03","0.02","33.3","0.04","0.04","979","0.21","2020-09-16","1334590"
"Lost Ember","0","0","16","0","1.05","1.05","0.07","0.05","28.6","0.06","0.05","158","0.49","2019-11-22","563840"
"Shakes and Fidget","0","0","15","0","1.97","1.97","0.13","0.27","-107.7","0.00","0.00","41","0.90","2023-02-24","438040"
"Digimon World: Next Order","0","0","15","0","2.67","2.67","0.18","0.49","-172.2","0.00","0.00","41","1.25","2023-02-22","1530160"
"Frontier Hunter: Erza’s Wheel of Fortune","0","0","15","0","1.43","1.43","0.10","N/A","0.0","4.66","0.67","22","0.70","2023-02-16","1429500"
"Winter Falling","0","0","15","0","2.67","2.67","0.18","N/A","0.0","0.00","0.00","13","1.25","2023-02-15","1285060"
"Timestamps: Unconditional Love","0","0","15","0","2.51","2.51","0.17","0.40","-135.3","0.00","0.00","29","1.18","2023-02-11","1333560"
"Sonic Colors: Ultimate","0","0","15","0","1.97","1.97","0.13","0.21","-61.5","0.00","0.00","49","0.90","2023-02-07","2055290"
"Symphony of War: The Nephilim Saga","0","0","15","0","0.76","0.76","0.05","0.05","0.0","1.10","0.10","37","0.35","2023-01-30","1488200"
"Dear Monster","0","0","15","0","2.43","2.43","0.16","0.12","25.0","3.86","11.77","26","1.11","2023-01-27","1748300"
"Nickelodeon Kart Racers 2: Grand Prix","0","0","15","0","0.57","0.57","0.04","0.03","25.0","0.47","0.18","168","0.28","2023-01-17","1383960"
"Nickelodeon Kart Racers 3: Slime Speedway","0","0","15","0","1.10","1.10","0.07","0.12","-71.4","1.00","1.05","25","0.49","2023-01-13","1620040"
"Rain World","0","0","15","0","1.16","1.16","0.08","0.07","12.5","1.23","0.19","261","0.56","2022-12-16","312520"
"Hentai Police","0","0","15","0","0.47","0.47","0.03","0.02","33.3","0.03","0.03","706","0.21","2022-12-07","1198730"
"Freedom Planet 2","0","0","15","0","1.28","1.28","0.09","0.31","-244.4","0.34","0.06","68","0.63","2022-11-08","595500"
"The Faraway Land","0","0","15","0","3.79","3.79","0.25","0.23","8.0","5.81","0.74","30","1.74","2022-11-03","1617270"
"NEO: The World Ends with You","0","0","15","0","1.16","1.16","0.08","0.08","0.0","0.20","0.21","64","0.56","2022-10-20","1647550"
"FRAMED Collection","0","0","15","0","0.51","0.51","0.03","0.02","33.3","0.03","0.03","736","0.21","2022-10-13","322450"
"IMMORTALITY","0","0","15","0","0.59","0.59","0.04","0.04","0.0","0.27","0.14","145","0.28","2022-10-06","1350200"
"Crossfire: Legion","0","0","15","0","0.86","0.86","0.06","0.13","-116.7","0.08","1.26","41","0.42","2022-09-29","1072190"
"Temtem","0","0","15","0","0.49","0.49","0.03","0.03","0.0","0.05","0.04","2101","0.21","2022-09-08","745920"
"Praey for the Gods","0","0","15","0","0.59","0.59","0.04","0.03","25.0","0.21","0.15","180","0.28","2022-08-25","494430"
"Fallen Legion Revenants","0","0","15","0","7.19","7.19","0.48","0.24","50.0","1.90","4.54","7","3.34","2022-08-24","1921340"
"Battle Bands","0","0","15","0","1.05","1.05","0.07","0.17","-142.9","1.69","0.61","25","0.49","2022-08-17","1322100"
"Two Point Campus","0","0","15","0","0.81","0.81","0.05","0.07","-40.0","38.16","0.06","279","0.35","2022-08-04","1649080"
"Urbek City Builder","0","0","15","0","0.64","0.64","0.04","0.03","25.0","3.40","0.06","153","0.28","2022-07-21","1411740"
"WARRIORS OROCHI 3 Ultimate Definitive Edition","0","0","15","0","1.07","1.07","0.07","0.07","0.0","0.17","0.19","51","0.49","2022-07-13","1879330"
"Kingdom of Atham: Crown of the Champions","0","0","15","0","1.12","1.12","0.07","0.14","-100.0","0.00","0.50","32","0.49","2022-07-06","1676380"
"Eternal Evil","0","0","15","0","0.86","0.86","0.06","0.04","33.3","0.91","43.08","30","0.42","2022-06-29","1673630"
"Love of Magic Book 2: The War","0","0","15","0","1.16","1.16","0.08","0.32","-300.0","0.47","1.19","30","0.56","2022-06-28","1570980"
"Dust to the End","0","0","15","0","0.56","0.56","0.04","0.03","25.0","0.15","0.29","134","0.28","2022-06-24","1074070"
"Builder Simulator","0","0","15","0","0.65","0.65","0.04","0.03","25.0","0.11","0.05","172","0.28","2022-06-21","1120320"
"Furry Love 2","0","0","15","0","0.45","0.45","0.03","0.02","33.3","0.03","0.03","747","0.21","2022-06-10","1349040"
"Mind Scanners","0","0","15","0","0.45","0.45","0.03","0.02","33.3","0.04","0.04","447","0.21","2022-05-20","1389550"
"Lust Academy","0","0","15","0","0.72","0.72","0.05","0.04","20.0","0.72","0.06","185","0.35","2022-04-30","1846920"
"Summer Memory of Bell","0","0","15","0","0.97","0.97","0.06","0.09","-50.0","0.47","0.47","48","0.42","2022-04-22","871570"
"Cosmonious High","0","0","15","0","0.64","0.64","0.04","0.09","-125.0","1.80","0.09","120","0.28","2022-04-01","1491490"
"NEEDY GIRL OVERDOSE","0","0","15","0","1.04","1.04","0.07","0.06","14.3","0.24","0.05","455","0.49","2022-03-02","1451940"
"GRID Legends","0","0","15","0","1.04","1.04","0.07","0.06","14.3","0.33","1.10","120","0.49","2022-02-25","1307710"
"SUCCUBUS","0","0","15","0","0.97","0.97","0.06","0.06","0.0","0.32","0.07","159","0.42","2022-02-25","985830"
"Monark","0","0","15","0","1.87","1.87","0.12","0.13","-8.3","176.25","3.30","20","0.83","2022-02-23","1539620"
"THE KING OF FIGHTERS XV","0","0","15","0","0.79","0.79","0.05","0.05","0.0","0.21","0.16","184","0.35","2022-02-21","1498570"
"COMPOUND","0","0","15","0","0.64","0.64","0.04","0.04","0.0","1.53","0.06","101","0.28","2022-01-28","615120"
"Moonglow Bay","0","0","15","0","0.75","0.75","0.05","N/A","0.0","4.61","0.25","42","0.35","2022-01-20","1361400"
"DYNASTY WARRIORS 9 Empires","0","0","15","0","0.95","0.95","0.06","0.14","-133.3","0.40","0.31","62","0.42","2022-01-19","1341200"
